textbox1,,,,,,,,,,,,,,,,,
"UserID: MITRA10HO\budi.warman - Wednesday, 03-Jun-2026 13:13:31
Stock Warehouse By Location Report
Location: 80002 - MITRA10 SOLO BARU",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LocationId,LocationName,StorageLocationId,ZoneId,StorageLocationActiveStatus,ItemCategoryDescription,ItemNo,BarcodeNo,ItemDescription,BaseUOM,LotNo,BatchNo,ReceivedDate,ExpiredDate,StockOnHandQty,AvailableQty,ToBePickedQty,PickedQtyBaseUOM
80002,MITRA10 SOLO BARU,W060190101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029028,2100000142453,CP/NIRO LUSTRO GBM70 CATELYN POLISHED 80X80=1.92M2,BOX,80002-2511-000000542,C56,03-11-2025,,4,4,0,0
80002,MITRA10 SOLO BARU,W060220101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029028,2100000142453,CP/NIRO LUSTRO GBM70 CATELYN POLISHED 80X80=1.92M2,BOX,80002-2511-000005606,,03-11-2025,,22,22,0,0
80002,MITRA10 SOLO BARU,W060220101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029028,2100000142453,CP/NIRO LUSTRO GBM70 CATELYN POLISHED 80X80=1.92M2,BOX,80002-2603-000005262,Z3,19-03-2026,,1,1,0,0
80002,MITRA10 SOLO BARU,W060290101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029028,2100000142453,CP/NIRO LUSTRO GBM70 CATELYN POLISHED 80X80=1.92M2,BOX,80002-2603-000005373,Z3,19-03-2026,,2,2,0,0
80002,MITRA10 SOLO BARU,W010460101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029123,2100000150199,KIA FT.KW I 50X50CM MATOA GREY,BOX,80002-2511-000000543,24,03-11-2025,,3,3,0,0
80002,MITRA10 SOLO BARU,W010460101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029123,2100000150199,KIA FT.KW I 50X50CM MATOA GREY,BOX,80002-2511-000000544,4,03-11-2025,,16,16,0,0
80002,MITRA10 SOLO BARU,W010460101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029123,2100000150199,KIA FT.KW I 50X50CM MATOA GREY,BOX,80002-2603-000001250,X,05-03-2026,,2,2,0,0
80002,MITRA10 SOLO BARU,W010510101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029123,2100000150199,KIA FT.KW I 50X50CM MATOA GREY,BOX,80002-2511-000000545,M154,03-11-2025,,17,17,0,0
80002,MITRA10 SOLO BARU,CONSOLE,QUARANTINE,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2511-000000548,7,03-11-2025,,10,10,0,0
80002,MITRA10 SOLO BARU,D200010103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2606-000000364,1,02-06-2026,,10,10,0,0
80002,MITRA10 SOLO BARU,D200020103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2511-000000549,7,03-11-2025,,14,14,0,0
80002,MITRA10 SOLO BARU,D200020103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2511-000000551,M824,03-11-2025,,10,10,0,0
80002,MITRA10 SOLO BARU,D200040103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2603-000004671,1,17-03-2026,,9,9,0,0
80002,MITRA10 SOLO BARU,W160140101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2604-000003707,M406,29-04-2026,,108,108,0,0
80002,MITRA10 SOLO BARU,W170320101,WAREHOUSE STACKING F1,ACTIV,FLOORING AND WALL,100029138,2100000150526,KIA FT.KW I 30X30CM MORGINS GREY,BOX,80002-2511-000000547,1,03-11-2025,,1,1,0,0
80002,MITRA10 SOLO BARU,D260040103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029149,2100000151042,DI/SINCERE MB60099Q GLAZED 60X60CM/DUS=1.44M2,BOX,80002-2511-000005611,,03-11-2025,,15,15,0,0
80002,MITRA10 SOLO BARU,D260060103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029149,2100000151042,DI/SINCERE MB60099Q GLAZED 60X60CM/DUS=1.44M2,BOX,80002-2511-000000553,BM101,03-11-2025,,3,3,0,0
80002,MITRA10 SOLO BARU,D260060103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029149,2100000151042,DI/SINCERE MB60099Q GLAZED 60X60CM/DUS=1.44M2,BOX,80002-2511-000005609,,03-11-2025,,5,5,0,0
80002,MITRA10 SOLO BARU,D260080103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029149,2100000151042,DI/SINCERE MB60099Q GLAZED 60X60CM/DUS=1.44M2,BOX,80002-2511-000000554,BM101,03-11-2025,,8,8,0,0
80002,MITRA10 SOLO BARU,D290030103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029149,2100000151042,DI/SINCERE MB60099Q GLAZED 60X60CM/DUS=1.44M2,BOX,80002-2511-000000555,BM101,03-11-2025,,3,3,0,0
80002,MITRA10 SOLO BARU,D290040103,DISPLAY DETAIL,ACTIV,FLOORING AND WALL,100029149,2100000151042,DI/SINCERE MB60099Q GLAZED 60X60CM/DUS=1.44M2,BOX,80002-2511-000000556,BM101,03-11-2025,,1,1,0,0
